Quarter,STP,STPName,CCG,CCGName,Provider,ProviderName,GroupType,VariableType,VariableA,VariableB,ReferralsReceived,FirstTreatment,EndedTreatedOnce,FinishedCourseTreatment,NotCaseness,Recovery,Improvement,Deterioration,NoReliableChange,ReliableRecovery,ProbDescMeanSession,FirstTreatment6WeeksFinishedCourse,FirstTreatment18WeeksFinishedCourse,RecoveryRate,ImprovementRate,ReliableRecoveryRate,FirstTreatment6WeeksFinishedCourseRate,FirstTreatment18WeeksFinishedCourseRate,CountAppropriatePairedADSM,CountADSMFinishedTreatment,PercentageAppropriatePairedADSM
Quarter 1 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Gender,Female,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Gender,Male,NULL,345,235,95,115,10,50,85,10,25,50,,95,115,45,71,45,82,99,*,10,*
Quarter 1 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Total,Total,NULL,350,235,95,115,10,50,85,10,25,50,,95,115,45,71,45,82,99,*,10,*
Quarter 1 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,18 to 64,NULL,2430,1620,740,885,70,420,595,45,220,395,,715,870,52,67,49,81,98,75,110,70
Quarter 1 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,65 to 74,NULL,95,60,20,45,*,25,30,*,10,25,,40,45,59,64,59,89,100,5,5,100
Quarter 1 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,75 to 89,NULL,50,35,15,15,*,10,10,*,*,10,,15,15,86,71,71,93,100,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,Under 18,NULL,70,25,5,25,*,15,20,*,5,15,,25,25,52,73,52,92,100,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Gender,Female,NULL,2425,1565,645,905,65,420,605,45,230,400,,735,890,50,67,47,81,99,80,120,64
Quarter 1 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Gender,Male,NULL,1135,695,325,410,25,195,280,25,95,185,,335,400,52,69,49,82,98,35,55,64
Quarter 1 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,15,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Total,Total,NULL,3595,2270,975,1315,90,620,890,70,325,585,,1075,1295,50,67,48,82,98,115,180,64
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,825,575,295,270,20,150,195,15,60,145,,270,270,60,72,58,99,100,25,30,78
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,35,25,10,10,*,5,10,*,*,5,,10,10,58,75,58,100,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,15,10,*,5,*,*,*,*,*,*,,5,5,*,*,*,100,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,Under 18,NULL,60,35,20,10,*,*,5,*,*,*,,10,10,*,56,*,100,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Gender,Female,NULL,760,535,265,270,15,150,205,15,50,145,,270,270,58,76,57,99,100,20,25,74
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Gender,Male,NULL,450,275,150,100,15,45,55,10,35,40,,100,100,51,54,46,99,100,10,15,64
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Total,Total,NULL,1210,810,420,375,25,195,260,25,85,185,,370,375,56,70,54,99,100,30,40,71
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,1030,825,285,405,30,190,280,25,95,185,,380,400,51,69,49,94,99,35,70,49
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,50,50,15,25,*,15,15,*,5,10,,20,20,65,65,60,87,96,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,15,10,5,10,*,5,5,*,*,5,,10,10,67,70,67,100,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,Under 18,NULL,30,20,15,5,*,*,*,*,*,*,,5,5,*,*,*,100,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Gender,Female,NULL,925,730,250,355,30,175,250,20,80,170,,330,350,55,71,53,93,99,30,70,47
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Gender,Male,NULL,475,385,140,175,10,85,120,10,40,80,,170,175,49,67,47,96,99,10,25,38
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Total,Total,NULL,1400,1115,390,530,40,260,370,30,125,250,,500,525,53,70,51,94,99,40,95,45
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,840,575,285,275,20,145,190,15,70,135,,220,275,57,69,53,80,100,15,35,52
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,45,30,15,15,*,5,10,*,*,5,,5,15,55,62,55,46,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,25,20,10,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,Under 18,NULL,35,20,15,15,*,5,10,*,5,5,,15,15,36,53,36,87,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Gender,Female,NULL,805,555,280,290,20,145,195,15,80,140,,230,290,54,67,52,79,100,20,40,51
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Gender,Male,NULL,385,255,130,90,5,45,60,*,25,40,,75,90,56,66,50,82,100,10,10,73
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Total,Total,NULL,1195,810,410,380,25,195,250,20,105,180,,300,380,55,66,52,80,100,30,50,56
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,1950,1405,640,700,35,375,505,35,150,360,,640,685,57,72,54,92,98,30,50,57
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,85,65,30,40,*,25,30,*,5,25,,35,35,71,82,68,95,95,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,55,45,20,20,*,15,15,*,*,15,,20,20,76,78,76,100,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,Under 18,NULL,100,65,35,20,*,10,15,*,*,10,,20,20,57,76,57,100,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Female,NULL,1970,1430,610,700,35,365,515,35,145,350,,645,690,54,73,52,92,98,35,55,59
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Male,NULL,790,570,290,265,15,160,190,15,60,155,,245,260,65,71,62,94,98,15,20,65
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Total,Total,NULL,2760,2000,895,965,50,525,700,50,210,505,,895,950,57,73,55,93,98,45,75,61
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,1125,760,385,370,40,180,230,25,110,170,,345,365,54,63,51,93,99,15,45,36
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,45,25,10,10,*,10,10,*,*,10,,10,10,100,90,90,90,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,25,15,10,10,*,5,10,*,*,5,,10,10,71,89,71,100,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,Under 18,NULL,45,30,15,15,*,10,10,*,5,10,,15,15,57,60,57,100,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Gender,Female,NULL,1125,785,390,390,35,190,245,30,110,180,,360,390,54,63,51,93,100,20,55,40
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Gender,Male,NULL,545,345,180,175,15,85,115,5,50,80,,165,170,54,65,51,95,99,10,25,39
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Total,Total,NULL,1675,1135,570,565,50,280,360,35,165,265,,525,560,54,64,51,93,100,30,75,39
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,1590,1005,260,710,70,370,510,30,165,355,,685,710,58,72,55,97,100,60,110,56
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,110,75,10,60,10,35,40,*,15,30,,60,60,67,67,65,100,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,60,30,10,15,*,5,10,*,*,5,,15,15,55,57,55,100,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,90 and over,NULL,5,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,Under 18,NULL,40,15,10,5,*,*,5,*,*,*,,5,5,*,71,*,71,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Gender,Female,NULL,1555,970,270,690,70,350,470,35,180,335,,665,690,57,68,54,97,100,65,125,52
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Gender,Male,NULL,880,510,140,345,30,165,230,15,90,160,,335,345,54,67,51,97,100,30,60,54
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Total,Total,NULL,2450,1485,410,1035,105,520,700,50,270,495,,1000,1035,56,68,53,97,100,95,185,53
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,635,480,315,110,*,65,80,*,25,60,,105,110,64,76,59,99,100,10,10,67
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,40,35,30,5,*,5,5,*,*,5,,5,5,100,100,100,83,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,20,15,10,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,Under 18,NULL,40,30,10,10,*,5,5,*,*,5,,10,10,56,78,56,100,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Female,NULL,680,485,300,125,*,75,95,*,25,70,,125,125,60,77,56,99,100,10,15,69
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Male,NULL,315,250,175,50,*,35,35,*,10,30,,45,45,72,75,68,94,98,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Total,Total,NULL,1005,735,475,175,5,105,130,*,35,100,,170,170,64,76,60,98,99,15,20,70
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,890,540,245,280,20,140,190,10,75,130,,235,275,55,68,50,84,97,25,40,59
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,65,45,10,25,*,20,20,*,*,20,,25,25,67,81,67,96,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,50,30,15,15,*,10,10,*,*,10,,15,15,71,71,64,100,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,Under 18,NULL,35,10,5,10,*,*,*,*,5,*,,5,10,*,*,*,78,100,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Gender,Female,NULL,860,500,215,270,15,135,185,10,75,125,,235,265,53,68,50,88,99,25,40,61
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Gender,Male,NULL,425,255,120,135,10,70,90,5,40,60,,110,135,53,64,45,81,97,10,20,58
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Total,Total,NULL,1290,755,335,405,25,205,270,15,115,185,,345,395,53,67,48,85,98,35,60,60
Quarter 1 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,1355,940,495,345,15,190,240,15,80,175,,335,340,58,71,53,97,99,30,40,78
Quarter 1 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,60,55,30,20,*,10,15,*,*,10,,20,20,67,78,67,100,100,*,*,*
Quarter 1 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,25,15,10,5,*,5,5,*,*,5,,5,5,100,100,100,100,100,*,*,*
Quarter 1 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 1 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,Under 18,NULL,65,40,20,15,*,5,10,*,*,5,,15,15,58,77,58,100,100,*,*,*
Quarter 1 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Gender,Female,NULL,1240,880,460,345,10,190,250,15,75,180,,340,345,57,72,54,99,100,30,40,76
Quarter 1 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Gender,Male,NULL,670,440,235,135,10,70,90,10,30,60,,130,130,55,68,50,96,99,15,15,94
