Quarter,STP,STPName,CCG,CCGName,Provider,ProviderName,GroupType,VariableType,VariableA,VariableB,ReferralsReceived,FirstTreatment,EndedTreatedOnce,FinishedCourseTreatment,NotCaseness,Recovery,Improvement,Deterioration,NoReliableChange,ReliableRecovery,ProbDescMeanSession,FirstTreatment6WeeksFinishedCourse,FirstTreatment18WeeksFinishedCourse,RecoveryRate,ImprovementRate,ReliableRecoveryRate,FirstTreatment6WeeksFinishedCourseRate,FirstTreatment18WeeksFinishedCourseRate,CountAppropriatePairedADSM,CountADSMFinishedTreatment,PercentageAppropriatePairedADSM
Quarter 4 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Gender,Male,NULL,250,135,90,100,10,30,60,10,30,25,,70,95,30,60,29,69,96,*,15,*
Quarter 4 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Total,Total,NULL,250,135,90,100,10,30,60,10,30,25,,70,95,30,60,29,69,96,*,15,*
Quarter 4 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,18 to 64,NULL,7045,4515,1760,2135,110,1135,1570,110,450,1095,,2065,2100,56,73,54,97,98,160,365,43
Quarter 4 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,65 to 74,NULL,215,155,70,80,*,50,60,*,20,45,,80,80,63,76,62,98,100,*,10,*
Quarter 4 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,75 to 89,NULL,100,55,30,20,*,10,15,*,5,10,,20,20,47,68,47,95,95,*,*,*
Quarter 4 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,90 and over,NULL,10,5,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,Under 18,NULL,305,135,50,40,*,15,25,*,10,10,,40,40,33,64,31,97,100,*,10,*
Quarter 4 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Gender,Female,NULL,7180,4465,1600,2035,95,1050,1480,105,440,1015,,1975,2005,54,73,52,97,99,150,370,40
Quarter 4 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Gender,Male,NULL,3505,2240,940,875,50,450,620,45,205,420,,845,855,54,71,51,96,98,70,165,42
Quarter 4 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,20,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Total,Total,NULL,10725,6725,2545,2915,145,1500,2105,150,650,1440,,2820,2865,54,72,52,97,98,220,535,41
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,730,510,265,215,15,105,145,10,60,95,,205,215,53,67,48,97,100,15,40,40
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,25,20,10,10,*,5,5,*,*,5,,10,10,56,60,56,100,100,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,10,10,5,5,*,*,*,*,*,*,,5,5,*,*,*,100,100,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,Under 18,NULL,40,25,15,15,*,10,10,*,5,10,,15,15,53,71,53,100,100,*,5,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Gender,Female,NULL,695,485,235,210,15,95,135,15,55,90,,205,205,49,64,46,98,100,15,35,35
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Gender,Male,NULL,385,260,155,95,10,45,65,*,30,40,,95,95,52,67,48,97,100,5,15,35
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Total,Total,NULL,1080,745,390,305,25,140,195,20,85,130,,295,305,50,65,47,98,100,20,55,35
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,735,520,190,340,20,185,255,10,70,175,,330,340,57,75,54,96,99,15,30,45
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,50,35,10,25,*,15,20,*,5,10,,25,25,57,76,52,100,100,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,20,15,5,10,*,5,10,*,*,5,,10,10,71,100,71,100,100,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,Under 18,NULL,25,15,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Gender,Female,NULL,665,465,165,290,15,155,220,5,60,150,,280,290,57,76,55,97,99,10,25,40
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Gender,Male,NULL,380,265,100,165,5,85,120,5,35,80,,160,160,55,73,51,98,99,5,15,41
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Total,Total,NULL,1045,730,265,455,20,245,340,10,95,230,,440,450,56,75,53,97,99,15,40,40
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,860,520,190,290,30,115,165,20,100,110,,260,290,45,57,43,89,100,15,40,41
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,50,40,5,15,*,10,10,*,5,10,,15,15,53,56,53,100,100,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,20,10,5,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,Under 18,NULL,45,30,10,10,*,5,5,*,*,*,,10,10,42,50,*,100,100,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Gender,Female,NULL,830,505,165,290,25,125,165,20,100,115,,255,290,47,58,44,87,100,15,45,33
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Gender,Male,NULL,420,240,100,115,10,45,65,5,45,45,,105,115,42,56,42,91,100,5,15,47
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Total,Total,NULL,1250,745,265,405,35,170,235,25,145,160,,360,405,45,57,43,88,100,20,60,36
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,1925,1335,580,700,35,355,495,35,165,340,,620,685,54,71,51,89,98,15,50,33
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,80,70,25,30,*,20,25,*,*,20,,25,30,74,82,70,96,100,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,40,25,5,20,*,10,10,*,5,5,,20,20,47,50,41,100,100,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,Under 18,NULL,100,65,25,30,*,10,15,*,10,10,,25,30,36,52,32,83,97,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Female,NULL,1960,1385,550,685,25,345,480,40,160,330,,600,670,52,70,50,88,98,20,60,32
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Male,NULL,820,530,265,265,20,135,180,15,70,125,,245,260,55,68,51,93,100,10,20,43
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Total,Total,NULL,2785,1920,815,950,40,480,660,55,230,455,,845,935,53,70,50,89,99,30,80,35
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,1135,695,285,390,35,175,245,25,115,170,,360,390,50,63,47,92,99,10,55,23
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,30,25,15,20,*,10,15,*,5,10,,20,20,56,72,56,100,100,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,20,10,*,10,*,*,*,*,*,*,,10,10,*,*,*,100,100,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,Under 18,NULL,60,40,15,15,*,5,10,*,5,5,,15,15,50,57,50,100,100,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Gender,Female,NULL,1125,745,280,390,25,175,235,30,120,165,,360,385,47,61,44,92,99,10,50,20
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Gender,Male,NULL,580,325,155,170,20,75,110,5,50,75,,160,170,50,64,49,95,100,10,25,33
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Total,Total,NULL,1705,1070,435,560,40,250,345,35,170,235,,520,555,48,62,46,93,99,20,80,24
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,1600,915,215,665,55,355,475,20,165,330,,635,660,58,71,54,95,99,35,75,47
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,75,50,15,55,10,25,35,*,15,25,,50,50,60,70,53,96,98,*,5,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,40,25,5,25,*,15,15,*,5,10,,25,25,59,65,50,100,100,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,Under 18,NULL,45,25,10,5,*,*,*,*,*,*,,5,5,*,*,*,100,100,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Gender,Female,NULL,1600,920,215,630,40,335,460,15,150,310,,610,630,56,73,52,96,100,40,85,45
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Gender,Male,NULL,815,465,110,335,35,160,220,15,95,150,,320,330,54,66,50,95,99,25,45,51
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Total,Total,NULL,2425,1390,330,970,75,495,685,30,245,460,,925,960,55,71,51,96,99,65,130,48
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,555,355,245,145,*,75,95,10,40,70,,140,140,55,66,51,97,99,5,20,32
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,30,20,15,10,*,10,5,*,*,5,,10,10,91,64,64,100,100,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,10,10,5,10,*,*,5,*,*,*,,10,10,*,50,*,100,100,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,Under 18,NULL,30,20,10,10,*,5,5,*,*,*,,10,10,56,56,*,100,100,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Female,NULL,570,380,250,150,*,75,90,10,45,65,,145,150,51,61,47,99,100,5,20,25
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Male,NULL,280,170,120,80,*,45,55,*,20,40,,75,80,56,68,51,96,99,5,10,45
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Total,Total,NULL,850,550,370,225,5,115,145,15,65,105,,225,225,52,63,48,98,100,10,30,32
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,835,595,210,320,20,160,205,25,85,155,,285,315,53,64,51,89,98,15,40,40
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,50,45,15,40,*,20,25,5,5,20,,35,35,51,68,51,87,95,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,25,25,10,25,*,10,15,*,10,10,,20,20,63,57,58,83,96,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,Under 18,NULL,25,15,*,5,*,*,*,*,*,*,,5,5,*,*,*,86,100,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Gender,Female,NULL,785,575,200,345,20,170,225,30,85,165,,310,335,53,65,51,89,97,15,35,46
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Gender,Male,NULL,390,260,85,130,10,65,85,*,40,65,,115,130,54,67,52,88,98,10,20,36
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Total,Total,NULL,1180,835,285,475,30,235,310,35,125,230,,425,465,53,65,51,89,97,25,60,42
Quarter 4 2020/21,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,1310,885,435,345,20,185,245,20,75,175,,335,345,56,72,54,97,100,20,30,73
Quarter 4 2020/21,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,60,40,30,20,*,10,15,*,5,5,,20,20,42,70,37,100,100,*,*,*
Quarter 4 2020/21,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,15,10,10,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 4 2020/21,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,Under 18,NULL,100,70,30,5,*,*,*,*,*,*,,5,5,*,*,*,100,100,*,*,*
Quarter 4 2020/21,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Gender,Female,NULL,1320,880,430,310,15,165,220,15,70,160,,300,310,56,71,54,97,100,15,25,64
Quarter 4 2020/21,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Gender,Male,NULL,625,420,215,140,10,60,85,10,40,60,,135,140,47,62,45,98,100,10,15,86
