Quarter,STP,STPName,CCG,CCGName,Provider,ProviderName,GroupType,VariableType,VariableA,VariableB,ReferralsReceived,FirstTreatment,EndedTreatedOnce,FinishedCourseTreatment,NotCaseness,Recovery,Improvement,Deterioration,NoReliableChange,ReliableRecovery,ProbDescMeanSession,FirstTreatment6WeeksFinishedCourse,FirstTreatment18WeeksFinishedCourse,RecoveryRate,ImprovementRate,ReliableRecoveryRate,FirstTreatment6WeeksFinishedCourseRate,FirstTreatment18WeeksFinishedCourseRate,CountAppropriatePairedADSM,CountADSMFinishedTreatment,PercentageAppropriatePairedADSM
Quarter 3 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,65 to 74,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,75 to 89,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Age,Under 18,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Gender,Female,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Gender,Male,NULL,360,255,105,125,15,40,80,10,35,40,,110,125,35,62,34,88,100,*,10,*
Quarter 3 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,InvalidCode,Unknown,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,All_Provider,nan,CCG,Total,Total,NULL,360,255,105,125,15,40,80,10,35,40,,110,125,36,62,34,88,100,*,10,*
Quarter 3 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,18 to 64,NULL,610,310,75,115,10,50,65,5,45,45,,105,115,44,56,41,88,97,10,10,92
Quarter 3 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,65 to 74,NULL,10,10,*,5,*,*,*,*,*,*,,*,5,*,*,*,*,100,*,*,*
Quarter 3 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,75 to 89,NULL,10,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Age,Under 18,NULL,25,15,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Gender,Female,NULL,620,300,80,130,5,50,75,10,45,50,,115,125,41,56,40,88,97,10,10,82
Quarter 3 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Gender,Male,NULL,290,130,40,45,*,15,20,*,20,15,,40,45,33,43,33,86,100,5,5,71
Quarter 3 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,40,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Total,Total,NULL,955,435,115,180,10,65,95,15,65,65,,155,175,40,52,38,88,98,15,20,79
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,795,570,315,260,25,135,170,35,55,125,,260,260,57,66,53,99,100,20,20,90
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,45,30,15,10,*,5,5,*,*,5,,10,10,71,67,71,89,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,10,10,5,5,*,*,5,*,*,*,,5,5,*,100,*,100,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,Under 18,NULL,55,30,10,10,*,*,5,*,*,*,,10,10,*,64,*,100,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Gender,Female,NULL,755,510,275,235,25,115,150,30,60,105,,230,235,53,63,50,98,100,15,20,89
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Gender,Male,NULL,425,295,165,135,10,70,100,10,25,70,,130,135,58,73,56,98,100,10,10,83
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Total,Total,NULL,1180,805,440,370,35,185,250,40,85,175,,365,370,55,67,52,98,100,25,30,87
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,845,700,275,435,30,235,310,30,95,225,,420,435,58,71,55,96,100,25,65,39
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,50,45,10,30,*,15,25,*,5,15,,30,30,56,80,56,100,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,25,20,10,10,*,5,10,*,*,5,,10,10,67,82,67,100,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,Under 18,NULL,30,30,15,10,*,*,5,*,*,*,,10,10,*,75,*,100,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Gender,Female,NULL,760,620,250,375,25,185,265,30,75,185,,365,375,53,71,53,97,100,25,65,40
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Gender,Male,NULL,410,340,145,200,10,120,150,10,40,110,,195,200,63,75,60,97,99,10,25,42
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Total,Total,NULL,1175,960,400,575,35,305,415,40,115,295,,555,570,57,73,55,97,100,35,85,40
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,865,520,260,315,35,150,215,20,75,140,,230,305,54,68,50,74,97,35,50,69
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,40,30,15,15,*,10,15,*,*,10,,10,15,73,76,73,65,94,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,15,10,5,10,*,*,*,*,*,*,,5,10,*,*,*,78,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,Under 18,NULL,65,20,15,5,*,*,*,*,*,*,,5,5,*,*,*,100,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Gender,Female,NULL,835,485,240,285,25,125,190,20,75,115,,215,280,48,67,45,76,98,35,55,63
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Gender,Male,NULL,375,215,135,130,10,65,90,5,30,60,,90,125,58,70,53,70,96,10,15,69
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Total,Total,NULL,1210,700,380,410,40,190,280,30,105,175,,305,400,51,68,47,74,98,45,70,64
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,1960,1235,630,610,25,370,470,20,115,355,,595,610,63,77,61,97,100,15,40,44
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,90,65,40,40,*,25,30,*,10,20,,40,40,64,76,56,98,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,50,35,25,25,*,15,20,*,5,15,,25,25,70,75,65,100,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,Under 18,NULL,100,60,25,25,10,10,10,*,10,5,,25,25,53,43,47,100,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Female,NULL,1890,1150,590,600,25,345,450,30,120,330,,585,595,60,75,58,98,100,20,40,44
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Male,NULL,905,560,320,260,30,150,185,5,70,140,,250,260,65,70,61,97,100,5,15,41
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Total,Total,NULL,2820,1720,910,860,55,495,630,35,190,475,,840,855,61,73,59,98,100,25,60,43
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,1130,800,360,315,20,160,215,30,75,155,,270,315,54,67,52,85,99,30,55,56
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,25,25,10,10,*,5,5,*,5,*,,10,10,56,42,*,83,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,15,20,5,5,*,*,*,*,*,*,,*,5,*,*,*,*,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,Under 18,NULL,60,25,10,10,*,*,10,*,*,*,,5,10,*,91,*,64,100,*,5,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Gender,Female,NULL,1060,750,345,335,20,155,210,35,85,150,,295,330,50,63,48,89,99,35,65,54
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Gender,Male,NULL,550,350,165,115,5,60,75,10,30,55,,85,110,55,67,52,75,98,10,20,50
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Total,Total,NULL,1610,1105,510,450,25,215,290,40,115,205,,385,445,52,64,49,85,99,45,85,53
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,1345,805,250,620,60,335,435,30,150,310,,595,620,60,70,55,96,100,65,100,65
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,95,70,15,60,10,35,40,*,15,35,,60,60,71,68,65,98,100,5,5,71
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,50,30,10,35,5,20,25,*,5,20,,35,35,74,76,70,100,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,Under 18,NULL,45,15,10,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Gender,Female,NULL,1390,795,240,620,55,320,430,30,150,300,,595,620,57,69,53,96,100,65,95,68
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Gender,Male,NULL,690,405,135,305,35,165,220,20,65,150,,295,305,62,72,57,97,100,35,55,60
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,5,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Total,Total,NULL,2095,1210,375,925,90,485,650,45,220,450,,890,920,58,70,54,96,100,100,150,65
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,580,420,265,115,*,55,85,10,20,55,,110,115,52,74,50,96,100,10,25,48
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,40,25,15,5,*,*,*,*,*,*,,5,5,*,*,*,100,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,30,15,15,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,Under 18,NULL,35,15,10,10,*,*,*,*,5,*,,10,10,*,*,*,100,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Female,NULL,585,405,250,140,*,70,95,10,30,65,,135,140,52,70,47,96,100,10,25,50
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Male,NULL,345,230,150,40,*,20,30,*,10,20,,40,40,46,71,46,98,100,*,5,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Total,Total,NULL,935,635,405,180,5,90,125,15,40,80,,175,180,51,70,47,97,100,15,30,47
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,820,565,220,270,25,125,175,15,75,120,,230,265,51,65,48,86,98,20,35,60
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,70,45,20,20,*,10,15,*,*,10,,20,20,71,68,71,100,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,35,20,10,10,*,10,10,*,*,10,,10,10,91,75,73,92,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,Under 18,NULL,30,10,*,5,*,*,*,*,*,*,,5,5,*,*,*,100,100,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Gender,Female,NULL,770,525,210,245,20,110,155,15,70,105,,215,240,49,63,47,88,98,20,35,65
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Gender,Male,NULL,405,225,90,125,10,70,85,10,30,65,,110,125,60,69,56,88,100,15,20,64
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Total,Total,NULL,1180,750,300,375,30,180,240,25,100,170,,330,370,53,65,50,88,98,35,55,64
Quarter 3 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,1340,940,465,340,30,170,230,20,80,160,,330,340,54,67,50,97,100,25,45,63
Quarter 3 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,75,45,30,15,*,10,15,*,*,10,,15,15,53,88,53,100,100,*,*,*
Quarter 3 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,30,20,10,5,*,*,*,*,*,*,,5,5,*,*,*,100,100,*,*,*
Quarter 3 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 3 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,Under 18,NULL,80,55,20,10,*,*,*,*,*,*,,10,10,*,*,*,100,100,*,*,*
Quarter 3 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Gender,Female,NULL,1255,875,425,310,25,140,205,25,75,135,,300,310,50,65,47,97,100,20,35,58
Quarter 3 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Gender,Male,NULL,650,430,235,145,10,80,105,10,25,80,,145,145,58,72,57,98,100,10,20,53
