Quarter,STP,STPName,CCG,CCGName,Provider,ProviderName,GroupType,VariableType,VariableA,VariableB,ReferralsReceived,FirstTreatment,EndedTreatedOnce,FinishedCourseTreatment,NotCaseness,Recovery,Improvement,Deterioration,NoReliableChange,ReliableRecovery,ProbDescMeanSession,FirstTreatment6WeeksFinishedCourse,FirstTreatment18WeeksFinishedCourse,RecoveryRate,ImprovementRate,ReliableRecoveryRate,FirstTreatment6WeeksFinishedCourseRate,FirstTreatment18WeeksFinishedCourseRate,CountAppropriatePairedADSM,CountADSMFinishedTreatment,PercentageAppropriatePairedADSM
Quarter 2 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,30,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,InvalidCode,Unknown,InvalidCode,Unknown,All_Provider,nan,CCG,Total,Total,NULL,2875,1530,735,905,70,370,565,60,245,355,,785,895,45,63,43,87,99,70,140,52
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,885,580,305,290,20,145,200,15,70,135,,285,290,54,69,51,100,100,20,35,62
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,35,35,20,20,*,5,10,*,5,5,,20,20,41,58,41,100,100,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,20,20,10,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Age,Under 18,NULL,40,30,20,15,*,5,5,*,*,5,,15,15,55,54,55,100,100,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Gender,Female,NULL,780,525,265,290,15,150,200,20,70,140,,285,290,55,69,51,100,100,25,30,72
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Gender,Male,NULL,455,295,180,120,10,50,80,*,40,50,,120,120,47,66,46,100,100,10,15,53
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00Q,NHS BLACKBURN WITH DARWEN CCG,All_Provider,nan,CCG,Total,Total,NULL,1240,820,445,410,30,200,280,25,105,190,,410,410,53,68,50,100,100,30,45,66
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,885,720,265,410,25,205,285,10,110,195,,405,410,53,70,51,99,100,25,60,40
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,55,45,25,25,*,15,20,*,*,15,,20,25,65,88,65,92,96,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,25,25,15,5,*,5,5,*,*,5,,5,5,100,100,100,100,100,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Age,Under 18,NULL,25,20,10,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Gender,Female,NULL,795,635,250,345,15,175,250,10,80,165,,340,345,53,73,51,99,100,20,50,46
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Gender,Male,NULL,430,355,140,200,15,95,135,10,55,95,,195,195,52,68,51,98,99,15,30,41
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00R,NHS BLACKPOOL CCG,All_Provider,nan,CCG,Total,Total,NULL,1225,990,390,545,30,270,390,15,130,265,,535,540,53,72,51,99,100,35,80,44
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,840,565,260,290,25,140,185,20,80,130,,205,290,53,63,50,71,100,20,40,55
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,35,30,15,25,*,15,15,*,5,15,,15,25,81,71,76,58,100,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,15,15,10,10,*,10,10,*,*,5,,5,10,89,80,78,60,100,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Age,Under 18,NULL,35,25,15,5,*,*,*,*,*,*,,5,5,*,*,*,100,100,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Gender,Female,NULL,765,535,240,295,25,130,180,20,90,125,,215,295,49,61,46,72,100,25,45,56
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Gender,Male,NULL,390,260,135,120,10,65,80,10,30,60,,80,120,58,66,53,66,100,10,15,50
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,00X,NHS CHORLEY AND SOUTH RIBBLE CCG,All_Provider,nan,CCG,Total,Total,NULL,1160,800,375,415,35,195,260,30,120,180,,290,410,51,62,48,70,100,35,60,54
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,1980,1420,720,635,40,305,460,25,145,300,,605,630,52,72,51,96,99,25,40,60
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,95,90,35,30,5,15,20,*,10,15,,30,30,67,67,58,97,100,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,45,35,15,20,*,15,15,*,5,10,,15,20,82,74,71,89,100,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Age,Under 18,NULL,85,50,30,25,*,10,15,*,5,10,,25,25,50,68,50,92,100,*,5,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Female,NULL,1880,1335,685,635,40,310,460,35,140,305,,605,635,52,73,51,95,100,25,40,62
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Male,NULL,890,630,315,255,15,120,175,*,70,115,,240,250,51,69,48,95,100,10,20,52
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01A,NHS EAST LANCASHIRE CCG,All_Provider,nan,CCG,Total,Total,NULL,2780,1975,1005,890,55,430,635,40,210,420,,850,890,52,71,50,95,100,35,65,59
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,1165,755,410,330,20,155,205,30,90,145,,295,330,50,62,47,89,100,15,45,33
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,35,35,20,15,*,10,10,*,*,5,,15,15,90,69,70,100,100,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,25,15,5,5,*,*,5,*,*,*,,5,5,*,71,*,86,100,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Age,Under 18,NULL,45,20,10,15,*,*,*,*,5,*,,10,15,*,*,*,92,100,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Gender,Female,NULL,1140,735,390,355,20,165,215,30,105,150,,315,355,50,60,46,89,100,20,55,42
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Gender,Male,NULL,540,335,200,155,10,60,90,15,45,55,,140,155,41,58,39,90,100,5,25,30
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01E,NHS GREATER PRESTON CCG,All_Provider,nan,CCG,Total,Total,NULL,1685,1075,595,505,30,225,300,45,150,210,,455,505,48,60,44,89,100,30,75,38
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,1655,990,235,640,55,335,465,35,135,320,,620,640,57,73,54,97,100,55,100,55
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,115,80,20,55,10,30,45,*,5,30,,55,55,71,85,71,100,100,*,5,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,65,40,10,25,10,15,15,*,5,10,,25,25,81,71,69,100,100,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Age,Under 18,NULL,35,15,5,5,*,*,*,*,*,*,,*,5,*,*,*,*,100,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Gender,Female,NULL,1565,930,215,625,60,295,445,35,140,285,,600,620,52,71,51,96,100,55,100,52
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Gender,Male,NULL,845,495,135,330,30,170,235,20,70,160,,315,330,57,71,53,96,100,35,55,61
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,10,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,01K,NHS MORECAMBE BAY CCG,All_Provider,nan,CCG,Total,Total,NULL,2425,1435,355,955,90,465,680,55,210,445,,920,955,54,71,51,96,100,85,155,55
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,570,420,270,120,*,70,90,*,25,70,,120,120,61,75,59,99,100,10,20,40
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,45,40,30,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,15,15,10,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Age,Under 18,NULL,20,20,10,15,*,10,10,*,*,10,,15,15,57,71,57,100,100,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Female,NULL,565,430,265,135,*,65,100,10,25,65,,135,135,50,73,49,99,100,10,20,61
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Male,NULL,315,215,140,65,*,40,45,*,15,40,,60,65,66,73,66,97,100,5,15,43
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02G,NHS WEST LANCASHIRE CCG,All_Provider,nan,CCG,Total,Total,NULL,880,645,410,200,*,110,145,10,45,105,,195,200,55,73,54,98,100,15,30,53
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,850,565,205,275,20,135,190,15,65,125,,230,270,54,69,50,83,99,20,40,55
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,80,60,25,25,5,10,15,*,10,5,,20,25,42,63,37,88,100,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,50,45,25,25,*,10,10,*,10,5,,25,25,39,48,30,96,100,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Age,Under 18,NULL,20,20,5,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Gender,Female,NULL,805,555,205,265,15,120,175,20,65,110,,215,260,48,67,44,81,99,25,40,59
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Gender,Male,NULL,430,285,110,130,15,65,90,*,35,55,,115,130,54,70,49,89,100,10,15,57
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Gender,Not known/Not specified/Not recorded,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QE1,LANCASHIRE AND SOUTH CUMBRIA ICS,02M,NHS FYLDE AND WYRE CCG,All_Provider,nan,CCG,Total,Total,NULL,1235,845,320,395,30,180,265,20,100,165,,330,390,50,68,46,84,99,30,55,58
Quarter 2 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,18 to 64,NULL,1315,960,960,390,25,170,270,15,95,160,,385,390,47,68,44,98,100,25,40,66
Quarter 2 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,65 to 74,NULL,55,45,50,20,*,10,15,*,5,10,,20,20,47,62,47,95,100,*,*,*
Quarter 2 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,75 to 89,NULL,20,20,20,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,90 and over,NULL,*,*,*,*,*,*,*,*,*,*,,*,*,*,*,*,*,*,*,*,*
Quarter 2 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Age,Under 18,NULL,60,40,40,10,*,*,5,*,5,*,,10,10,*,45,*,100,100,*,*,*
Quarter 2 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Gender,Female,NULL,1220,875,935,360,20,135,235,15,100,130,,355,360,40,65,38,98,100,30,45,67
Quarter 2 2021/22,QF7,SOUTH YORKSHIRE AND BASSETLAW STP,02P,NHS BARNSLEY CCG,All_Provider,nan,CCG,Gender,Male,NULL,610,450,470,170,15,80,115,15,35,75,,170,170,50,67,47,98,100,5,10,64
